时间（周）,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）
201737,0.734595019,1.513693367,-0.044503329
201738,0.691741226,1.470839574,-0.087357122
201739,0.744661191,1.523759539,-0.034437157
201740,0.665620143,1.444718491,-0.113478205
201741,0.822588089,1.601686437,0.043489741
201742,0.685390631,1.464488979,-0.093707718
201743,0.678559247,1.457657595,-0.100539101
201744,0.567235364,1.346333713,-0.211862984
201745,0.740775171,1.51987352,-0.038323177
201746,0.566543805,1.345642154,-0.212554543
201747,0.606199105,1.385297453,-0.172899244
201748,0.807752411,1.586850759,0.028654063
201749,0.623066389,1.402164737,-0.15603196
201750,0.68270862,1.461806969,-0.096389728
201751,0.666442764,1.445541112,-0.112655585
201752,0.681659572,1.46075792,-0.097438776
201801,0.556541442,1.33563979,-0.222556906
201802,0.644435014,1.423533362,-0.134663334
201803,0.828036296,1.607134644,0.048937948
201804,1.290545597,2.069643945,0.511447249
201805,0.659879851,1.438978199,-0.119218498
201806,0.927660378,1.706758726,0.14856203
201807,1.31469785,2.093796198,0.535599502
201808,1.097769986,1.876868334,0.318671638
201809,1.039539438,1.818637786,0.260441089
201810,1.129150671,1.908249019,0.350052323
201811,1.260734418,2.039832766,0.48163607
201812,0.581296923,1.360395271,-0.197801425
201813,0.9496675,1.728765848,0.170569152
201814,1.006016083,1.785114431,0.226917734
201815,0.605893336,1.384991684,-0.173205012
201816,0.692631216,1.471729564,-0.086467132
201817,0.774156086,1.553254434,-0.004942262
201818,0.547943117,1.327041465,-0.231155232
201819,0.696003279,1.475101627,-0.083095069
201820,0.654919116,1.434017464,-0.124179232
201821,0.638456592,1.41755494,-0.140641757
201822,0.701943888,1.481042237,-0.07715446
201823,0.566280231,1.345378579,-0.212818118
201824,0.754649886,1.533748234,-0.024448462
201825,0.991034031,1.77013238,0.211935683
201826,0.912490776,1.691589124,0.133392428
201827,0.772997836,1.552096184,-0.006100513
201828,0.953218439,1.732316787,0.17412009
201829,1.381211527,2.160309875,0.602113178
201830,1.179570106,1.958668455,0.400471758
201831,0.885503103,1.664601451,0.106404755
201832,1.156694162,1.93579251,0.377595813
201833,1.199677012,1.97877536,0.420578663
201834,1.029561068,1.808659416,0.250462719
201835,1.17385126,1.952949608,0.394752912
201836,1.147489377,1.926587725,0.368391028
201837,0.828094079,1.607192428,0.048995731
201838,0.965060625,1.744158973,0.185962276
201839,1.217895332,1.996993681,0.438796984
201840,1.379405408,2.158503756,0.60030706
201841,1.565276323,2.344374671,0.786177975
201842,1.073066656,1.852165004,0.293968308
201843,1.102723764,1.881822112,0.323625416
201844,0.84084089,1.619939238,0.061742542
201845,1.25638772,2.035486068,0.477289372
201846,0.611043402,1.39014175,-0.168054946
201847,0.949295777,1.728394125,0.170197428
201848,0.910607067,1.689705416,0.131508719
201849,0.394156703,1.173255051,-0.384941645
201850,0.660066357,1.439164705,-0.119031992
201851,0.893259597,1.672357945,0.114161249
201852,0.677684715,1.456783063,-0.101413633
201853,0.584001155,1.363099503,-0.195097193
201901,0.703964429,1.483062777,-0.075133919
201902,0.759743664,1.538842013,-0.019354684
201903,0.695090191,1.47418854,-0.084008157
201904,0.764578651,1.543676999,-0.014519697
201905,0.897125065,1.676223413,0.118026716
201906,0.850454939,1.629553287,0.071356591
201907,0.647439323,1.426537671,-0.131659025
201908,0.700250992,1.47934934,-0.078847357
201909,0.849461486,1.628559835,0.070363138
201910,0.681342526,1.460440874,-0.097755822
201911,0.792064176,1.571162524,0.012965828
201912,0.923572658,1.702671006,0.144474309
201913,0.857171463,1.636269811,0.078073115
201914,0.962834553,1.741932901,0.183736205
201915,1.107844575,1.886942924,0.328746227
201916,0.887365163,1.666463512,0.108266815
201917,0.84334362,1.622441968,0.064245271
201918,0.990957892,1.77005624,0.211859543
